"siteID","domain","elevation","slope","aspect","d2at","d2fb","d2cs","rad080","rad172","rad355","thl0","thl315","thl337","plow050","plow125","plow250","plow500","tpi050","tpi125","tpi250","tpi500"
"StPkN",2,140.03271484375,0.410747481575604,0.141185412029085,8083.451171875,2765.46948242188,2765.46948242188,7874.95703125,5466.16162109375,8183.73583984375,1.0991761828919,1.0242166964711,1.07344684946727,0.732394366197183,0.682692307692308,0.660251665433013,0.64554893289752,0.271918767615205,-0.960175590281182,-5.68102794255816,-25.5523267011556
"SME16",2,103.208702087402,0.115869538377674,2.27578549699786,5402.283203125,3935.12158203125,3935.12158203125,5811.9365234375,2283.78515625,9331.8974609375,0.954742088225826,0.935308632500372,0.941029848440479,0.746478873239437,0.653846153846154,0.572538860103627,0.481349740434532,-0.0733547935002861,-3.77817906728794,-13.8618047109606,-41.0601089792393
"SME17",2,86.3307952880859,0.036999100013521,2.70220050368935,5542.3466796875,3752.69653320312,3752.69653320312,6113.845703125,2581.30444335938,9359.2099609375,0.987376131479901,0.986739184396795,0.985695363303953,0.5,0.396978021978022,0.346780162842339,0.314458757931167,-2.12453760074662,-4.75915945478263,-11.3761170267024,-38.97236777512
"SME18",2,108.132675170898,0.14563408669263,5.38198286504732,5714.1953125,3529.14233398438,3529.14233398438,7259.56640625,4036.79809570312,9213.931640625,1.02840694107829,1.05447189375233,1.04638505239902,0.732394366197183,0.667582417582418,0.631754256106588,0.574216496827533,0.117830107483698,-1.80616775855935,-6.03782791675131,-16.0560545439693
"SME20",2,229.03434753418,0.435259948288407,5.73348659962655,6014.85888671875,3116.61962890625,3116.61962890625,7371.4677734375,4485.3994140625,8860.861328125,1.07257325054687,1.09689404812042,1.10028325946899,0.732394366197183,0.730769230769231,0.785714285714286,0.844837531243992,-0.711528922938101,4.02159914356042,21.2359956407377,54.2045548025654
"SMW8",2,432.837799072266,0.256479776396776,1.73220105750661,4654.13623046875,5716.2509765625,4654.13623046875,6855.546875,3516.5576171875,9459.078125,0.938789743018226,0.859209179430789,0.893197156302474,0.788732394366197,0.776098901098901,0.846780162842339,0.877042876369929,2.54804548432554,6.21498753834368,18.9459421217224,38.9100768405503
"SMW7",2,397.430267333984,0.187827951028447,2.85535330609202,4741.73193359375,5500.27197265625,4741.73193359375,5642.5693359375,2056.47094726562,9436.4736328125,0.889556914649369,0.896876475246702,0.886491374727595,0.725352112676056,0.653846153846154,0.618430792005922,0.71322822534128,-0.333535109894228,-0.749683777979044,0.194864129947121,17.2029643852593
"SMW5",2,361.590087890625,0.159652184796871,2.60589458580683,4425.61474609375,5435.47900390625,4425.61474609375,5970.25927734375,2439.73583984375,9458.607421875,0.916284302597823,0.907926408398511,0.906239686963089,0.753521126760563,0.706043956043956,0.548482605477424,0.548259950009614,0.515948718107268,1.61354242804595,-3.83229550200514,-8.3547464967649
"SMW4",2,343.912658691406,0.30786299839174,0.358527510284917,4551.59423828125,5292.2890625,4551.59423828125,7006.1904296875,3726.00805664062,9372.521484375,1.0801615819545,1.00386283646011,1.04926376532954,0.732394366197183,0.532967032967033,0.455958549222798,0.509709671217074,-0.902561236031488,-8.07829381400597,-11.7045977107111,-12.2979270965193
"NDP2",2,484.196960449219,0.153254202934486,3.21818847936506,3471.79638671875,6511.81982421875,3471.79638671875,5802.99462890625,2223.91918945312,9503.7021484375,0.910237617356897,0.935706713413152,0.91826966533905,0.690140845070423,0.583791208791209,0.57660991857883,0.607479330897904,-0.723991683766769,-2.9901847605326,-6.73544691629962,-6.7809270252136
"NDP1",2,494.867492675781,0.279444680723712,0.695490802579451,3420.3984375,6714.423828125,3420.3984375,7450.3544921875,4358.09716796875,9255.056640625,1.05404677985446,0.963915527410154,1.01264769922417,0.71830985915493,0.668956043956044,0.663952627683198,0.736300711401654,-1.86931832229033,-5.15864678443324,-0.3103029992036,5.93704336358502
"NDP5",2,731.567260742188,0.346856329470072,3.48029553650103,1701.44799804688,8160.3056640625,1701.44799804688,5754.900390625,2183.67504882812,9474.775390625,0.776544939994249,0.860306197995515,0.810102696960025,0.73943661971831,0.682692307692308,0.739452257586973,0.91895789271294,3.10438711431971,15.2330842749479,37.9393644230635,101.830604857387
"NDP6",2,724.68212890625,0.242660971928736,1.11163739337583,1823.07275390625,8192.7861328125,1823.07275390625,7258.7490234375,4012.10180664062,9473.962890625,1.01362760271365,0.925179970397389,0.968980521543298,0.690140845070423,0.663461538461538,0.717616580310881,0.873101326667948,0.768845183940016,5.59853046315766,12.0476272684257,44.724321982676
"NDP7",2,706.513671875,0.470888282144547,5.10540045241971,1514.85070800781,8522.3291015625,1514.85070800781,6931.35546875,3646.68481445312,9387.390625,0.969396942620978,1.08770484991916,1.04166773281611,0.71830985915493,0.799450549450549,0.802368615840118,0.800038454143434,4.01793197438678,15.0474767392393,31.6439398726136,71.7515772157607
"NDP8",2,655.100219726562,0.258944394852088,0.673048058337303,1823.19616699219,8428.0869140625,1823.19616699219,6991.587890625,3714.37744140625,9405.97265625,1.05439815693587,0.971729335193623,1.01666461317266,0.732394366197183,0.663461538461538,0.629163582531458,0.596712170736397,0.341704163370196,0.329434447492872,2.32430103373963,6.5113439602477
"NDP9",2,653.287841796875,0.254819287214817,1.85398248314372,1684.98608398438,8688.974609375,1684.98608398438,5692.20947265625,2211.90576171875,9294.8564453125,0.925104589891072,0.852557696698997,0.882221132022867,0.647887323943662,0.565934065934066,0.599185788304959,0.644779850028841,-3.18457185769398,-9.50152887449678,-9.17108883353797,4.19188584748156
"PSK1",2,575.442504882812,0.101948036000664,1.07491501188727,2284.88354492188,8377.046875,2284.88354492188,6928.9189453125,3574.97119140625,9545.3955078125,1.01703332810725,0.979688797087829,0.998319676117846,0.704225352112676,0.634615384615385,0.629163582531458,0.70476831378581,-0.144432357594951,-0.763017463294318,0.852109292746491,17.0971147194441
"PSK2",2,564.933044433594,0.203554648246781,1.12024296170767,2284.40087890625,8578.2705078125,2284.40087890625,6624.22119140625,3165.3564453125,9527.8291015625,1.01477856483151,0.940328134324265,0.977133132364913,0.73943661971831,0.671703296703297,0.541080680977054,0.467025572005384,0.234877960591234,-0.457706381207345,-3.91889250260328,-15.4206250620394
