"siteID","domain","elevation","slope","d2at","d2fb","d2cs","rad080","rad172","rad355","thl0","thl315","thl337","plow050","plow125","plow250","plow500","tpi050","tpi125","tpi250","tpi500"
"E2.KBG",1,156,0.136606730404477,5697.158203125,13742.3369140625,5697.158203125,5899.55419921875,2327.04614257812,9323.876953125,0.933762994445051,0.923255372368983,0.923505796805043,0.791666666666667,0.7,-5.1093117408908,0.585076708507671,-0.777777777777771,-2.42622950819671,-5.1093117408908,-14.0140703517586
"E3.KBM",1,229,0.368797928273425,5313.876953125,13603.8583984375,5313.876953125,6793.5322265625,3537.57153320312,9014.0390625,0.997099145012504,0.86421122253625,0.929655003352786,0.833333333333333,0.758333333333333,-11.9878542510122,0.629009762900976,-0.444444444444429,-3.06557377049188,-11.9878542510122,-38.7216080402009
"E4.NB",1,524,0.683002483385507,4682.1962890625,14203.4140625,4682.1962890625,3460.96142578125,560.995300292969,7816.02880859375,0.515985431308382,0.502021923929389,0.485741701871036,0.833333333333333,0.708333333333333,-31.7044534412952,0.648535564853556,-4.44444444444434,-18.8360655737706,-31.7044534412952,-9.2261306532663
"E5.CR",1,702,0.467058077653575,4551.984375,14386.626953125,4551.984375,4615.1669921875,1284.4951171875,8848.8466796875,0.717407461186075,0.672394242633585,0.678493618552559,0.875,0.85,77.9392712550605,0.807531380753138,6.00000000000011,30.3770491803277,77.9392712550605,117.715577889447
"E8.SG",1,700,0.434640764434091,4236.2841796875,14919.6611328125,4236.2841796875,4343.1494140625,894.773559570312,8789.27734375,0.700898611823888,0.733771367457133,0.70261762092831,0.833333333333333,0.733333333333333,-11.1174089068827,0.500697350069735,-0.555555555555543,-1.73770491803293,-11.1174089068827,-24.5768844221109
"CC10",1,729,0.162524941064623,3178.54077148438,15006.93359375,3178.54077148438,7141.43994140625,3846.75024414062,9532.5234375,1.04972730123407,1.00214202272162,1.02897472560086,0.833333333333333,0.775,6.55870445344112,0.815202231520223,0.555555555555657,2.37704918032773,6.55870445344112,21.8110552763816
"CC06",1,662,0.36183306073962,4265.9970703125,13964.048828125,4265.9970703125,4765.2021484375,1195.91259765625,9168.431640625,0.757294229604053,0.820918472113711,0.778495326448317,0.791666666666667,0.733333333333333,-5.99595141700422,0.567642956764296,-1.77777777777771,-4.8360655737705,-5.99595141700422,-5.57286432160868
"CC05",1,609,0.697112949342014,4772.93994140625,13348.1416015625,4772.93994140625,4418.8828125,1449.98291015625,8000.5830078125,0.616427734307446,0.480250160610978,0.527523686941862,0.833333333333333,0.758333333333333,18.2267206477734,0.667364016736402,1.77777777777783,10.2131147540985,18.2267206477734,31.6060301507532
"CC04",1,497,0.267304741679557,5018.3671875,13082.6025390625,5018.3671875,7003.0654296875,3569.65161132812,9337.3759765625,1.05385887186471,0.967535382778379,1.01420589257836,0.833333333333333,0.766666666666667,6.02024291497963,0.693863319386332,1.44444444444451,3.91803278688519,6.02024291497963,6.67939698492376
"CC03",1,573,0.57330208384178,4865.3017578125,13076.3740234375,4865.3017578125,4484.14306640625,1315.35217285156,8454.18359375,0.662247778947232,0.580953644637723,0.602498293497868,0.833333333333333,0.75,-0.599190283400844,0.677126917712692,-0.444444444444457,-1.34426229508165,-0.599190283400844,14.3919597989943
"CC02",1,440,0.58832571715175,4979.49658203125,12837.4560546875,4979.49658203125,4067.32836914062,905.512451171875,8359.9951171875,0.619804399131003,0.570958909206191,0.575060777099572,0.833333333333333,0.733333333333333,-8.54251012145755,0.695258019525802,-0.888888888888857,-5.21311475409851,-8.54251012145755,6.80703517587961
"CC01",1,370,0.398151986514095,4952.78076171875,12767.791015625,4952.78076171875,6164.11767578125,2759.69140625,9031.6865234375,0.899546871512779,1.03550742488533,0.97349233863449,0.833333333333333,0.783333333333333,28.9230769230769,0.809623430962343,1.22222222222223,9.77049180327873,28.9230769230769,56.6030150753772
"W2.CB1",1,202,0.328086511207239,1088.36303710938,17746.98046875,1088.36303710938,6923.28564453125,3783.10668945312,9177.9951171875,1.01374199141922,1.08751858384974,1.06073706849524,0.833333333333333,0.758333333333333,2.26315789473688,0.699442119944212,-0.666666666666657,-0.131147540983591,2.26315789473688,8.60703517587945
"W3.CB2",1,281,0.215017392975297,1371.67333984375,17492.841796875,1371.67333984375,7014.63720703125,3818.41821289062,9108.36328125,1.05409973451372,1.07176428002507,1.07075826915787,0.833333333333333,0.766666666666667,1.61133603238875,0.685495118549512,0.333333333333371,1.13114754098353,1.61133603238875,-9.15678391959835
"TM.W4.Por400",1,449,0.924304566110139,1747.19555664062,17273.353515625,1747.19555664062,6136.83740234375,3560.99658203125,7603.0283203125,0.752695142803816,0.987343528429945,0.890379063183826,0.833333333333333,0.775,-1.34008097166009,0.694560669456067,0.555555555555657,0.540983606557347,-1.34008097166009,-2.3195979899503
"W3.CB4",1,547,0.797909824656353,1969.18383789062,17361.08203125,1969.18383789062,7491.55712890625,5693.8525390625,6787.18994140625,1.07269588116761,0.989284058194367,1.05494835384123,0.875,0.833333333333333,78.6680161943321,0.787308228730823,8.22222222222229,42.7704918032786,78.6680161943321,99.5125628140705
"W5.P550",1,584,0.584473157267733,1908.53747558594,17167.341796875,1908.53747558594,6345.11962890625,3240.92407226562,8767.1630859375,0.865096284235957,1.04404165920803,0.966252388690613,0.833333333333333,0.741666666666667,22.5668016194332,0.707810320781032,0.555555555555657,4.08196721311469,22.5668016194332,54.0402010050248
"W6.P700",1,702,0.708571715009693,2151.73999023438,17001.158203125,2151.73999023438,7957.69921875,5606.69140625,7823.88671875,1.09020273266959,1.00086205602205,1.06666376718119,0.875,0.808333333333333,6.78947368421041,0.712691771269177,1.11111111111109,3.96721311475403,6.78947368421041,46.1396984924628
"W7.BLK",1,900,0.754095266257227,2502.3955078125,16805.197265625,2502.3955078125,7942.7939453125,5821.421875,7781.44970703125,1.05497872099559,1.05961330139398,1.08245116213099,0.833333333333333,0.816666666666667,81.6720647773285,0.887029288702929,11.6666666666667,46.639344262295,81.6720647773285,136.87135678392
"TA13",1,815,0.313353238093922,2290.5517578125,16669.935546875,2290.5517578125,5378.515625,1884.44702148438,9232.958984375,0.83335571058526,0.936503852990314,0.88134708827412,0.791666666666667,0.691666666666667,-10.1700404858301,0.764993026499303,-1.8888888888888,-9.63934426229491,-10.1700404858301,38.5226130653261
